Label,x_coord,y_coord,Image,Image_length,Image_width
1.Intersectionofthecenterlineandtheroofofacar,639,122,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
2.Intersectionofthecenterlineandtheupperedgeofthefrontwindshield,639,145,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
3.Intersectionofthecenterlineandtheloweredgeofthefrontwindshield,640,291,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
4.Intersectionofthecenterlineandtheupperedgeofthegrille,640,455,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
5.Intersectionofthecenterlineandtheloweredgeofthegrille,640,512,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
6.Intersectionofthecenterlineandtheupperedgeofthecenterbumperbox,640,512,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
7.Intersectionofthecenterlineandtheloweredgeofthecenterbumperbox,640,607,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
8.Intersectionofthecenterlineandthebaseofthecar,639,679,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
9.Upperleftcorneroftheroof,393,137,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
10.Upperrightcorneroftheroof,872,137,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
11.Upperleftcornerofthewindshield,376,163,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
12.Upperrightcornerofthewindshield,898,163,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
13.Lowerleftcornerofthewindshield,302,300,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
14.Lowerrightcornerofthewindshield,967,300,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
15.Upperleftcorneroftheleftmirror,213,265,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
16.Upperrightcorneroftheleftmirror,263,263,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
17.Lowerleftcorneroftheleftmirror,202,320,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
18.Lowercorneroftheconnectionoftheleftmirrorwiththecar,278,311,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
19.Upperleftcorneroftherightmirror,1002,261,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
20.Upperrightcorneroftherightmirror,1068,265,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
21.Lowerrightcorneroftherightmirror,1081,311,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
22.Lowercorneroftheconnectionoftherightmirrorwiththecar,991,313,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
23.Farthestleftedgeofthecaratthesamehorizontalleveloftheupperedgeofthebumper(thedarkerline),208,476,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
24.Farthestrightedgeofthecaratthesamehorizontalleveloftheupperedgeofthebumper(thedarkerline),1061,473,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
25.Leftcornerofthebase,226,664,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
26.Rightcornerofthebase,1044,664,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
27.Upperleftcorneroftheleftheadlight,256,374,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
28.Upperrightcorneroftheleftheadlight,367,448,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
29.Lowerleftcorneroftheleftheadlight,232,455,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
30.Lowerrightcorneroftheleftheadlight,284,481,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
31.Upperleftcorneroftherightheadlight,900,448,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
32.Upperrightcorneroftherightheadlight,1017,376,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
33.Lowerleftcorneroftherightheadlight,991,479,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
34.Lowerrightcorneroftherightheadlight,1037,457,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
35.Upperleftcornerofthegrille,415,455,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
36.Upperrightcornerofthegrille,861,455,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
37.Lowerleftcornerofthegrille,358,509,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
38.Lowerrightcornerofthegrille,913,503,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
39.Upperleftcornerofthecenterbumperbox,286,481,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
40.Upperrightcornerofthecenterbumperbox,913,503,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
41.Lowerleftcornerofthecenterbumperbox,469,600,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
42.Lowerrightcornerofthecenterbumperbox,802,603,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
43.Upperleftcorneroftheleftbumperbox,243,531,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
44.Upperrightcorneroftheleftbumperbox,263,587,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
45.Lowerleftcorneroftheleftbumperbox,219,629,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
46.Lowerrightcorneroftheleftbumperbox,265,587,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
47.Upperleftcorneroftherightbumperbox,1009,581,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
48.Upperrightcorneroftherightbumperbox,1024,522,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
49.Lowerleftcorneroftherightbumperbox,1009,581,2021_hyundai_elantra_sedan_limited_f_oem_1_1280x855.jpg,1280,855
